distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second,store_forward,vendor
0.61,40.76113892,-73.93550873,1,40.75408554,-73.94224548,2,1,6,0,30,42,2,1,6,0,33,25,0,2
0.73,40.68009186,-74.00136566,1,40.6907692,-73.99607086,5,1,30,12,2,30,5,1,30,12,9,14,0,2
2.42,40.73612595,-73.92391968,2,40.76607513,-73.9196701,5,1,9,16,52,55,5,1,9,17,7,38,0,2
0.68,40.68500137,-73.98883057,1,40.68385315,-73.97902679,5,1,30,3,49,11,5,1,30,3,51,52,0,2
0.9,40.69200516,-73.94663239,1,40.69737625,-73.93579865,1,1,19,0,19,8,1,1,19,0,22,57,0,1
1.54,40.66360092,-73.98767853,1,40.6814003,-73.9771347,0,1,25,18,57,54,0,1,25,19,7,22,0,2
1.2,40.81608963,-73.94689941,1,40.82910538,-73.94866943,6,1,24,22,0,51,6,1,24,22,8,28,0,1
0.53,40.68924332,-73.98722839,2,40.68525696,-73.98040771,1,1,5,12,10,5,1,1,5,12,14,17,0,2
1.3,40.84480667,-73.90969086,1,40.82953644,-73.91214752,3,1,7,19,37,21,3,1,7,19,45,39,0,1
3.43,40.76502228,-73.88234711,1,40.74656296,-73.89098358,1,1,5,0,55,32,1,1,5,1,4,2,0,2
5.92,40.67586517,-73.9415741,1,40.67301178,-73.96076202,0,1,25,9,6,36,0,1,25,9,57,21,0,2
3.41,40.72816849,-74.00292206,1,40.68715668,-73.99017334,0,1,11,16,26,9,0,1,11,16,41,12,0,2
4.3,40.6792984,-73.91370392,1,40.68907166,-73.9863205,3,1,14,1,49,26,3,1,14,2,4,50,0,2
0.6,40.7921257,-73.94418335,1,40.79029846,-73.95188141,4,1,8,18,59,41,4,1,8,19,4,3,0,1
1.66,40.66794205,-73.98070526,1,40.68682098,-73.98474121,5,1,2,15,3,44,5,1,2,15,13,4,0,2
8.18,40.71830368,-73.98712921,1,40.76459122,-73.91438293,2,1,6,22,58,48,2,1,6,23,11,57,0,2
1.34,40.71163559,-73.9474411,1,40.71758652,-73.95783997,1,1,5,18,50,13,1,1,5,18,58,59,0,2
0.99,40.67162323,-73.95042419,1,40.65935135,-73.95333862,5,1,30,2,3,16,5,1,30,2,7,39,0,2
8.7,40.74627686,-73.99367523,1,40.68146515,-73.95744324,0,1,25,9,1,16,0,1,25,9,58,48,0,1
3.78,40.74964523,-73.86399841,1,40.74309158,-73.91897583,2,1,20,10,13,29,3,1,21,0,0,0,0,2
3.79,40.67259216,-73.95726776,1,40.72179413,-73.95790863,5,1,9,23,40,38,5,1,9,23,59,13,0,2
1.38,40.74104691,-73.87996674,1,40.74589157,-73.90324402,2,1,13,19,37,43,2,1,13,19,51,56,0,2
